Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency
Motor Vehicle Theft,230736570,Motor Vehicle Theft - Generalist,9/20/2023,11:59:00 PM,Street,"23xx Neil Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230736742,Motor Vehicle Theft - Generalist,9/20/2023,11:30:00 PM,Street,"15xx W 7th Ave, Columbus, Oh 43210",Address,Columbus Division Of Police (Oh)
Weapons Violation,233010783,Weapons Offense,9/20/2023,11:05:00 PM,Parking Lot,"6xx E 5th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Theft,202301436,505.05 Petty Theft - All Other Larceny,9/20/2023,11:00:00 PM,Multiple Dwelling,"14xx W Lane Ave, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
All Other - Non-Criminal,202301433,Non-criminal Incident,9/20/2023,10:50:00 PM,,"29xx Brandon Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Burglary - Residential,23000763,Burglary,9/20/2023,10:30:00 PM,,"8xx Goodale Blvd, Grandview Heights, Oh",Address,Grandview Heights Police Department
Weapons Violation,230735837,Weapons Offense,9/20/2023,9:38:00 PM,Yard,"29xx Azelda St, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230736816,Motor Vehicle Theft - Generalist,9/20/2023,9:30:00 PM,Residential Facility,"9xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230735783,Missing Person,9/20/2023,8:30:00 PM,Single Family Home,"27xx Atwood Ter, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230745428,Menacing - Ziu,9/20/2023,7:30:00 PM,Hospital,"35xx Olentangy River Rd, Columbus, Oh 43214",Address,Columbus Division Of Police (Oh)
Sexual Offense,230735306,Public Indecency,9/20/2023,6:15:00 PM,Street,"N High Ave & E 4th St, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
All Other - Criminal,233010887,Menacing - Ziu,9/20/2023,6:00:00 PM,Multiple Dwelling,"17xx Elmwood Ave, Columbus, Oh 43212",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230735224,Menacing - Ziu,9/20/2023,5:20:00 PM,Street,"Xx E Broad, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230735204,Menacing - Ziu,9/20/2023,5:14:00 PM,Park/playground,"10xx E 13th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Traffic Incident,230735017,Traffic Arrest,9/20/2023,4:01:00 PM,Street,"Olentangy St & Goodale St, Columbus, Oh 43223",Intersection,Columbus Division Of Police (Oh)
Burglary - Residential,230740179,Burglary - Residential,9/20/2023,4:00:00 PM,Other Residential,"6xx Northridge Rd, Columbus, Oh 43214",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230734843,Motor Vehicle Theft - Generalist,9/20/2023,2:30:00 PM,Street,"1xx W 3rd Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230737314,Missing Person,9/20/2023,12:30:00 PM,Multiple Dwelling,"14xx Hamlet St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
