Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency
Theft,230719555,Theft - Misdemeanor - Ziu,9/14/2023,10:30:00 PM,Other Location,"13xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230723939,Missing Person,9/14/2023,10:00:00 PM,Multiple Dwelling,"9xx Mt Vernon Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230721923,Motor Vehicle Theft - Generalist,9/14/2023,9:30:00 PM,Street,"W 2nd St & N High Ave, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
Theft,230773240,Theft - Mail,9/14/2023,7:20:00 PM,Single Family Home,"1xx Irving Way W, Columbus, Oh 43214",Address,Columbus Division Of Police (Oh)
Robbery - Individual,230718661,Robbery - Individual,9/14/2023,4:50:00 PM,Library,"14xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230718537,Motor Vehicle Theft - Generalist,9/14/2023,4:12:00 PM,Street,"E Hudson & Billiter, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230718701,Missing Person,9/14/2023,4:00:00 PM,Single Family Home,"17xx Cordell Ave, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230734293,Missing Person,9/14/2023,3:54:00 PM,Residential Facility,"25xx Grasmere Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Assault - Simple,230718469,Domestic Violence,9/14/2023,3:40:00 PM,Multiple Dwelling,"4xx Helen Ct, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Drugs / Narcotics Violation,202301409,511.04c2 Possess Marijuana,9/14/2023,3:33:00 PM,Street,"Essex Rd & North Star Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Motor Vehicle Theft,230721166,Motor Vehicle Theft - Generalist,9/14/2023,3:00:00 PM,Single Family Home,"11xx Michigan Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Simple,230718296,Domestic Violence,9/14/2023,2:35:00 PM,Single Family Home,"5xx N Champion Ave, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230727213,Motor Vehicle Theft - Generalist,9/14/2023,7:00:00 AM,Parking Lot,"23xx Cleveland Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230719642,Missing Person,9/14/2023,6:30:00 AM,Single Family Home,"11xx E 17th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230717296,Menacing - Ziu,9/14/2023,4:30:00 AM,Street,"13xx E 26th Ave, Columbus, Oh 43212",Address,Columbus Division Of Police (Oh)
Vandalism,230717235,Damage To Property,9/14/2023,1:45:00 AM,Single Family Home,"28xx Audubon Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Traffic Incident,230717136,Traffic Arrest,9/14/2023,1:00:00 AM,Single Family Home,"28xx Audobon Rd, Columbus Ohio Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Theft,230716508,Theft - Misdemeanor - Ziu,9/13/2023,7:32:00 PM,Variety/convenience Store,"6xx E Weber Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Traffic Incident,230716313,Traffic Arrest,9/13/2023,6:16:00 PM,Street,"Chittenden St & Summit Ave, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
All Other - Criminal,230716046,Menacing - Ziu,9/13/2023,4:43:00 PM,Residential Facility,"29xx Azelda St, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Theft,230716033,Theft - Misdemeanor - Ziu,9/13/2023,4:30:00 PM,Grocery/supermarket,"6xx E Hudson St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Drugs / Narcotics Violation,230716004,Drug Offense,9/13/2023,4:26:00 PM,Yard,"25xx Audubon Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230715747,Menacing - Ziu,9/13/2023,2:49:00 PM,Single Family Home,"10xx Duxberry Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Burglary from Motor Vehicle,230715405,Theft - From Motor Vehicle - Petit - Ziu,9/13/2023,11:56:00 AM,Other Business Office,"21xx Joyce Ave, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh)
Weapons Violation,230715327,Weapons Offense,9/13/2023,11:21:00 AM,70 - Other Vehicle,"N Gift St & W Gay St, Columbus, Oh 43215",Intersection,Columbus Division Of Police (Oh)
Burglary - Residential,230716128,Burglary - Residential,9/13/2023,11:10:00 AM,Multiple Dwelling,"11xx Kinnear Rd, Columbus, Oh 43212",Address,Columbus Division Of Police (Oh)
Robbery - Individual,230716828,Robbery - Individual,9/13/2023,9:50:00 AM,Single Family Home,"8xx Gibbard Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230715448,Menacing - Ziu,9/13/2023,9:30:00 AM,School,"26xx Mcguffey Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230759232,Missing Person,9/13/2023,9:00:00 AM,Single Family Home,"11xx Duxberry Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Traffic Incident,01-23-005879,Vehicle Crash,9/13/2023,7:26:00 AM,Street,"Columbus, Oh",Street,Franklin County Sheriff's Office
Traffic Incident,01-23-005913,Vehicle Crash,9/13/2023,6:40:00 AM,Street,"Columbus, Oh",Street,Franklin County Sheriff's Office
Traffic Incident,01-23-005886,Vehicle Crash,9/13/2023,6:40:00 AM,Street,"Columbus, Oh",Street,Franklin County Sheriff's Office
Traffic Incident,01-23-005909,Vehicle Crash,9/13/2023,6:40:00 AM,Street,"Columbus, Oh",Street,Franklin County Sheriff's Office
All Other - Criminal,230714814,Menacing - Ziu,9/13/2023,6:38:00 AM,Daycare Facility,"19xx Cleveland Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Assault - Simple,230714691,Domestic Violence,9/13/2023,4:23:00 AM,Single Family Home,"13xx E 18th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Traffic Incident,230714625,Traffic Arrest,9/13/2023,3:09:00 AM,Street,"Medary St & E Tompkins Ave, Columbus, Oh 43202",Intersection,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230714975,Motor Vehicle Theft - Generalist,9/13/2023,2:03:00 AM,Parking Lot,"4xx W 5th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,202301403,Issuance Of Warrant Upon Failure To Appear,9/13/2023,1:54:00 AM,Other Location,"13xx N High St, Columbus, Oh 43201",Address,Upper Arlington Police Department
Assault - Aggravated,230714517,Felony Assault,9/13/2023,1:13:00 AM,Single Family Home,"12xx E Hudson St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230714386,Menacing - Ziu,9/12/2023,11:44:00 PM,Single Family Home,"9xx E 18th Ave, Columbus, Oh 43221",Address,Columbus Division Of Police (Oh)
Weapons Violation,230714378,Weapons Offense,9/12/2023,11:38:00 PM,Street,"Cleveland Pl & Kohr Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Burglary - Residential,230714287,Burglary - Residential,9/12/2023,10:35:00 PM,Single Family Home,"1xx W Maynard Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230714464,Motor Vehicle Theft - Generalist,9/12/2023,9:00:00 PM,Parking Lot,"21xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230714936,Motor Vehicle Theft - Generalist,9/12/2023,8:14:00 PM,Street,"N High Ave & 2nd St, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
All Other - Non-Criminal,01-23-005867,Unspecified,9/12/2023,4:20:00 PM,,"17xx Olentangy River Rd, Clinton Twp, Oh 43224",Address,Franklin County Sheriff's Office
Theft,230712976,Theft - Misdemeanor - Ziu,9/12/2023,1:00:00 PM,Single Family Home,"15xx Kingry St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Theft,230713714,Theft - Misdemeanor - Ziu,9/12/2023,9:30:00 AM,Yard,"14xx Loretta Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230716623,Menacing - Ziu,9/12/2023,9:00:00 AM,Multiple Dwelling,"4xx Chittenden Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Simple,230712164,Domestic Violence,9/12/2023,6:45:00 AM,Single Family Home,"8xx E 2nd Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230713875,Missing Person,9/12/2023,4:00:00 AM,Single Family Home,"20xx Grasmere Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Traffic Incident,230712067,Traffic Arrest,9/12/2023,3:55:00 AM,Street,"I, Xx N E 17th Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Drugs / Narcotics Violation,230712047,Drug Offense,9/12/2023,3:25:00 AM,Parking Lot,"27xx Cleveland Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,233010545,Curfew,9/12/2023,1:36:00 AM,Street,"16xx E Weber Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230711936,Motor Vehicle Theft - Generalist,9/12/2023,1:28:00 AM,Street,"4xx E 15th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Burglary - Residential,230712636,Burglary - Residential,9/12/2023,12:20:00 AM,Single Family Home,"24xx Lexington Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Burglary - Residential,230712384,Burglary - Residential,9/11/2023,11:30:00 PM,Multiple Dwelling,"3xx E 20th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230712414,Menacing - Ziu,9/11/2023,10:30:00 PM,Street,"5xx St Clair Ave, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Assault - Simple,230711681,Domestic Violence,9/11/2023,10:21:00 PM,Single Family Home,"13xx E 26th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Burglary from Motor Vehicle,233010582,Theft - From Motor Vehicle - Petit - Ziu,9/11/2023,10:00:00 PM,Parking Lot,"Xx W Northwood Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Simple,230711588,Domestic Violence,9/11/2023,9:34:00 PM,Single Family Home,"12xx E 16th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Weapons Violation,230711337,Weapons Offense,9/11/2023,9:00:00 PM,70 - Other Vehicle,"Akola St & Hiawatha Ave, Columbus, Oh 43228",Intersection,Columbus Division Of Police (Oh)
All Other - Criminal,230711755,Menacing - Ziu,9/11/2023,9:00:00 PM,School,"6xx Jack Gibbs Blvd, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230713061,Motor Vehicle Theft - Generalist,9/11/2023,8:45:00 PM,Multiple Dwelling,"5xx Stinchcomb Dr, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230711935,Motor Vehicle Theft - Generalist,9/11/2023,8:30:00 PM,Parking Lot,"1xx E 5th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230711580,Menacing - Ziu,9/11/2023,7:27:00 PM,School,"1xx Arcadia Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230711571,Motor Vehicle Theft - Generalist,9/11/2023,5:30:00 PM,Parking Lot,"39xx N High St, Columbus, Oh 43214",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230716367,Motor Vehicle Theft - Generalist,9/11/2023,4:39:00 PM,Single Family Home,"5xx E Weber Rd, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Robbery - Individual,230710857,Robbery - Individual,9/11/2023,4:34:00 PM,Parking Lot,"8xx E 17th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,202301402,Non-criminal Incident,9/11/2023,2:50:00 PM,,"22xx North Star Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
All Other - Criminal,230710239,Menacing - Ziu,9/11/2023,10:30:00 AM,Multiple Dwelling,"Xx S 4th St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230710066,Menacing - Ziu,9/11/2023,10:10:00 AM,Residential Facility,"Xx S 4th St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230709967,Menacing - Ziu,9/11/2023,9:27:00 AM,Other Business Office,"13xx Essex Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230710294,Motor Vehicle Theft - Generalist,9/11/2023,9:00:00 AM,Parking Lot,"11xx Hunter Ave, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230709959,Telecommunication Harassment - Ziu,9/11/2023,8:45:00 AM,Multiple Dwelling,"13xx N 4th St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230711401,Menacing - Ziu,9/11/2023,8:10:00 AM,Street,"W 9th Ave & Hunter Ave, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230740058,Missing Person,9/11/2023,8:00:00 AM,Multiple Dwelling,"11xx E 18th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230709769,Menacing - Ziu,9/11/2023,7:57:00 AM,School,"1xx Arcadia Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230692968,Motor Vehicle Theft - Generalist,9/11/2023,7:50:00 AM,Other Commercial Service Location,"9xx Joyce Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Burglary from Motor Vehicle,230709748,Theft - From Motor Vehicle - Petit - Ziu,9/11/2023,7:45:00 AM,Parking Lot,"4xx W Broad St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230711672,Missing Person,9/11/2023,7:30:00 AM,Single Family Home,"14xx Jefferson Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230710001,Motor Vehicle Theft - Generalist,9/11/2023,1:00:00 AM,Parking Lot,"22xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Weapons Violation,230709400,Weapons Offense,9/11/2023,12:54:00 AM,Street,"Ontario Ave & Loretta St, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Traffic Incident,230709364,Traffic Arrest,9/11/2023,12:22:00 AM,Street,"W 3rd St & Perry Ave, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
Theft,23000744,Theft - All Other Larceny,9/10/2023,11:01:00 PM,,"12xx Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
Drugs / Narcotics Violation,23000743,Possession Of Drugs,9/10/2023,10:42:00 PM,,Grandview Ave/w 2nd Ave Grandview Heights Oh,Address,Grandview Heights Police Department
Motor Vehicle Theft,230709248,Motor Vehicle Theft - Generalist,9/10/2023,10:15:00 PM,Street,"20xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Robbery - Individual,230709139,Robbery - Individual,9/10/2023,10:03:00 PM,Parking Lot,"12xx Essex Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230709174,Menacing - Ziu,9/10/2023,10:00:00 PM,Variety/convenience Store,"3xx N 20th St, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230709989,Motor Vehicle Theft - Generalist,9/10/2023,8:30:00 PM,Parking Lot,"17xx Summit St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230711017,Motor Vehicle Theft - Generalist,9/10/2023,7:48:00 PM,Street,"1xx E 14th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,202301385,Issuance Of Warrant Upon Failure To Appear,9/10/2023,7:14:00 PM,Street,"36xx Tremont Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Motor Vehicle Theft,230708985,Motor Vehicle Theft - Generalist,9/10/2023,7:00:00 PM,Parking Lot,"10xx Dennison Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Simple,230708658,Domestic Violence,9/10/2023,7:00:00 PM,Multiple Dwelling,"9xx Mt Vernon Ave, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230709629,Motor Vehicle Theft - Generalist,9/10/2023,6:30:00 PM,Parking Lot,"30xx Sunset Dr, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
All Other - Criminal,23000741,Criminal Mischief,9/10/2023,5:15:00 PM,,"9xx Woodhill Dr, Grandview Heights, Oh",Address,Grandview Heights Police Department
Theft,230708397,Theft - Misdemeanor - Ziu,9/10/2023,5:12:00 PM,Single Family Home,"13xx E 19th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230718194,Missing Person,9/10/2023,4:54:00 PM,Shelter-mission / Homeless,"14xx Hamlet St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Aggravated,230708379,Felony Assault,9/10/2023,3:53:00 PM,Street,"15xx Loretta Ave, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Traffic Incident,230708176,Traffic Arrest,9/10/2023,3:53:00 PM,Street,"15xx Loretta Ave, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Weapons Violation,202301383,Carrying Concealed Weapons_handgun Other Than A Dangerous Ordnance,9/10/2023,3:34:00 PM,Street,"13xx W Lane Ave, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
All Other - Criminal,230708087,Menacing - Ziu,9/10/2023,3:06:00 PM,Other Business Office,"35xx N High St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Assault - Simple,230708060,Domestic Violence,9/10/2023,2:57:00 PM,Street,"Hamilton Ave & Melrose Ave, Columbus, Oh 43224",Intersection,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230707358,Motor Vehicle Theft - Generalist,9/10/2023,7:00:00 AM,Parking Lot,"22xx Homestead Dr, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Assault - Simple,01-23-005818,Assault,9/10/2023,4:10:00 AM,,"24xx Parkwood Av, Mifflin Twp, Oh 43219",Address,Franklin County Sheriff's Office
Assault - Simple,230713171,Domestic Violence,9/10/2023,2:25:00 AM,Single Family Home,"28xx Bremen St, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Sexual Offense,230707766,Prowling,9/10/2023,2:00:00 AM,Multiple Dwelling,"1xx Chittenden Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Simple,230706827,Domestic Violence,9/10/2023,1:15:00 AM,Single Family Home,"29xx Cleveland Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Assault - Simple,230706796,Domestic Violence,9/10/2023,12:58:00 AM,Street,"High Ave & Bolinger Street, Columbus, Oh 43215",Intersection,Columbus Division Of Police (Oh)
Assault - Simple,230706766,Domestic Violence,9/10/2023,12:42:00 AM,Single Family Home,"10xx Olmestead Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Alcohol Violation,230706770,Liquor Law Offense,9/10/2023,12:30:00 AM,Parking Lot,"11xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Burglary from Motor Vehicle,230706899,Theft - From Motor Vehicle - Petit - Ziu,9/10/2023,12:00:00 AM,Parking Lot,"Xx E 12th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230706446,Menacing - Ziu,9/9/2023,10:30:00 PM,Single Family Home,"14xx Kohr Pl, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Traffic Incident,230706393,Traffic Arrest,9/9/2023,10:18:00 PM,Street,"E 5th St & Hamlet Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Assault - Simple,230706371,Domestic Violence,9/9/2023,10:08:00 PM,Single Family Home,"16xx Weldon Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Assault - Aggravated,230706545,Felony Assault,9/9/2023,9:15:00 PM,Multiple Dwelling,"5xx Bolivar St, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Assault - Simple,230706149,Domestic Violence,9/9/2023,8:56:00 PM,Single Family Home,"X Buttles Ave, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Burglary - Commercial,230706334,Burglary - Commercial,9/9/2023,8:15:00 PM,Multiple Dwelling,"1xx W Patterson Ave, Apt E Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Vandalism,230707869,Damage To Property,9/9/2023,8:00:00 PM,Multiple Dwelling,"2xx E Oakland Ave, Apt A Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Burglary - Commercial,230707223,Burglary - Commercial,9/9/2023,7:00:00 PM,Restaurant,"20xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Sexual Offense,230707576,Public Indecency,9/9/2023,6:15:00 PM,Clothing Store,"7xx N High St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Assault - Simple,230705177,Domestic Violence,9/9/2023,4:44:00 PM,Single Family Home,"11xx Piedmnont, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Homicide / Manslaughter,230705296,Homicide,9/9/2023,3:56:00 PM,Single Family Home,"20xx Iuka Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Simple,230705117,Domestic Violence,9/9/2023,2:35:00 PM,Multiple Dwelling,"24xx N 4th St, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230705065,Menacing - Ziu,9/9/2023,1:54:00 PM,Single Family Home,"11xx E 21st Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Theft,233011330,Theft - Misdemeanor - Ziu,9/9/2023,1:00:00 PM,Multiple Dwelling,"Xx E 11th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230706574,Menacing - Ziu,9/9/2023,11:00:00 AM,Multiple Dwelling,"13xx Highland St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Burglary from Motor Vehicle,230704938,Theft - From Motor Vehicle - Petit - Ziu,9/9/2023,7:00:00 AM,Street,"20xx N 4th St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230704560,Missing Person,9/9/2023,6:00:00 AM,Multiple Dwelling,"4xx N Garfield Ave, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Assault - Simple,230703990,Domestic Violence,9/9/2023,2:42:00 AM,Multiple Dwelling,"2xx E 5th Ave, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh)
Driving Under the Influence (DUI),202301376,353.01a Ovi Impaired,9/9/2023,2:29:00 AM,Street,"16xx W Lane Ave, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Assault - Simple,23000738,Assault,9/9/2023,12:13:00 AM,,"18xx W 5th Ave, Columbus, Oh",Address,Grandview Heights Police Department
Assault - Simple,230703622,Domestic Violence,9/8/2023,11:30:00 PM,Single Family Home,"17xx Manchester Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230703946,Motor Vehicle Theft - Generalist,9/8/2023,10:30:00 PM,Parking Lot,"W 4th St & N High Ave, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230703948,Missing Person,9/8/2023,10:00:00 PM,Multiple Dwelling,"E 12th Ave & Cleveland Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230704513,Motor Vehicle Theft - Generalist,9/8/2023,10:00:00 PM,Street,"9xx Urna Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Weapons Violation,230703362,Weapons Offense,9/8/2023,10:00:00 PM,Street,"25xx Atwood Ter, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Vandalism,23000737,Criminal Damaging/endangering,9/8/2023,9:56:00 PM,,"15xx W 3rd Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
All Other - Criminal,230702793,Menacing - Ziu,9/8/2023,6:41:00 PM,Variety/convenience Store,"14xx Cleveland Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Theft,23000736,Theft - All Other Larceny,9/8/2023,6:22:00 PM,,"15xx W 3rd Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
Motor Vehicle Theft,230703634,Motor Vehicle Theft - Generalist,9/8/2023,6:00:00 PM,Parking Lot,"24xx East Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Burglary - Residential,230710815,Burglary - Residential,9/8/2023,5:40:00 PM,Multiple Dwelling,"24xx N 4th St, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230715696,Menacing - Ziu,9/8/2023,4:00:00 PM,Street,"1xx E 5th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Shoplifting,202301374,505.05 Petty Theft - Shoplifting,9/8/2023,3:54:00 PM,Other Retail Store,"30xx Kingsdale Ctr, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Motor Vehicle Theft,230703488,Motor Vehicle Theft - Generalist,9/8/2023,3:50:00 PM,Street,"Xx E Nationwide Blvd, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Traffic Incident,01-23-005792,Vehicle Crash,9/8/2023,3:46:00 PM,,"Columbus, Oh",Street,Franklin County Sheriff's Office
Motor Vehicle Theft,230702210,Motor Vehicle Theft - Generalist,9/8/2023,3:33:00 PM,Single Family Home,"5xx Bassett Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Vandalism,233010463,Damage To Property,9/8/2023,1:45:00 PM,Street,"High Ave & 15th St, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
Theft,235006903,Theft - Misdemeanor - Ziu,9/8/2023,12:17:00 PM,Single Family Home,"12xx E 24th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Theft,230702888,Theft - Misdemeanor - Ziu,9/8/2023,12:00:00 PM,Multiple Dwelling,"19xx Denune Ave, Apt B Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Theft,202301378,Theft_deception - All Other Thefts,9/8/2023,10:00:00 AM,Single Family Home,"16xx Barrington Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Motor Vehicle Theft,230701723,Motor Vehicle Theft - Generalist,9/8/2023,9:00:00 AM,Street,"26xx Audubon Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,202301388,Non-criminal Incident,9/8/2023,8:47:00 AM,,"36xx Tremont Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Drugs / Narcotics Violation,23000731,Possession Of Drugs,9/8/2023,12:43:00 AM,,"10xx Dublin Rd Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
Traffic Incident,01-23-005778,Traffic Offense,9/8/2023,12:17:00 AM,Street,"Westerville Rd, Columbus, Oh 43226",Intersection,Franklin County Sheriff's Office
Motor Vehicle Theft,230701019,Motor Vehicle Theft - Generalist,9/7/2023,9:30:00 PM,Parking Lot,"4xx Thurber Dr W, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
